"iata","state","airport","city","country","latitude","longitude","timezone","dst","Volume"
"0G7","NY","Finger Lakes Regional","Seneca Falls","USA",42.88062278,-76.78162028,-5,1,NA
"0H1","KS","Trego Wakeeney ","Wakeeney","USA",39.0044525,-99.89289917,-6,1,NA
"0I8","KY","Cynthiana-Harrison County","Cynthiana","USA",38.36674167,-84.28410056,-5,1,NA
"0J0","AL","Abbeville Municipal","Abbeville","USA",31.60016778,-85.23882222,-6,1,NA
"0J4","AL","Florala Municipal","Florala","USA",31.04247361,-86.31156111,-6,1,NA
"0J6","AL","Headland Municipal","Headland","USA",31.364895,-85.30965556,-6,1,NA
"0K7","IA","Humboldt Municipal","Humboldt","USA",42.7360825,-94.24524167,-6,1,NA
"0L5","NV","Goldfield","Goldfield","USA",37.71798833,-117.2384119,-8,1,NA
"0L7","NV","Jean","Jean","USA",35.76827222,-115.3296378,-8,1,NA
"0L9","NV","Echo Bay","Overton","USA",36.31108972,-114.4638672,NA,NA,NA
"0M0","AR","Dumas Municipal","Dumas","USA",33.8845475,-91.53429111,-6,1,NA
"0M1","TN","Scott ","Parsons","USA",35.63778,-88.127995,-6,1,NA
"0M4","TN","Benton County","Camden","USA",36.01122694,-88.12328833,-6,1,NA
"0M5","TN","Humphreys County","Waverly","USA",36.11659972,-87.73815889,-6,1,NA
"0M6","MS","Panola County","Batesville","USA",34.36677444,-89.90008917,-6,1,NA
"0M8","LA","Byerley","Lake Providence","USA",32.82587917,-91.187665,-6,1,NA
"0O3","CA","Calaveras Co-Maury Rasmussen ","San Andreas","USA",38.14611639,-120.6481733,-8,1,NA
"0O4","CA","Corning Municipal","Corning","USA",39.94376806,-122.1713781,-8,1,NA
"0O5","CA","University","Davis","USA",38.53146222,-121.7864906,-8,1,NA
"0Q5","CA","Shelter Cove","Shelter Cove","USA",40.02764333,-124.0733639,-8,1,NA
"0Q6","CA","Shingletown","Shingletown","USA",40.52210111,-121.8177683,-8,1,NA
"0R0","MS","Columbia-Marion County","Columbia","USA",31.29700806,-89.81282944,-6,1,NA
"0R1","AL","Atmore Municipal","Atmore","USA",31.01621528,-87.44675972,-6,1,NA
"0R3","LA","Abbeville Chris Crusta Memorial","Abbeville","USA",29.97576083,-92.08415167,-6,1,NA
"0R4","LA","Concordia Parish","Vidalia","USA",31.56683278,-91.50011889,-6,1,NA
"0R5","LA","David G Joyce","Winnfield","USA",31.96366222,-92.66026056,-6,1,NA
"0R7","LA","Red River","Coushatta","USA",31.99071694,-93.30739306,-6,1,NA
"0S7","WA","Dorothy Scott","Oroville","USA",48.958965,-119.4119622,-8,1,NA
"0S9","WA","Jefferson County International","Port Townsend","USA",48.04981361,-122.8012792,-8,1,NA
"0V2","CO","Harriet Alexander ","Salida","USA",38.53916389,-106.0458483,-7,1,NA
"0V3","NE","Pioneer Village ","Minden","USA",40.5149125,-98.94565083,-6,1,NA
"0V4","VA","Brookneal/Campbell County","Brookneal","USA",37.14172222,-79.01638889,-5,1,NA
"0V6","SD","Mission Sioux","Mission","USA",43.30694778,-100.6281936,-6,1,NA
"0V6","SD","Mission Sioux","Mission","USA",43.30694778,-100.6281936,-7,1,NA
"0V7","AZ","Kayenta","Kayenta","USA",36.70972139,-110.2367978,-7,0,NA
"10C","IL","Galt","Chicago/Greenwood/Wonderlake","USA",42.40266472,-88.37588917,-6,1,NA
"10D","MN","Winsted Municipal","Winsted","USA",44.94996278,-94.0669175,-6,1,NA
"10G","OH","Holmes County","Millersburg","USA",40.53716667,-81.95436111,-5,1,NA
"10N","NY","Wallkill","Wallkill","USA",41.62787111,-74.13375583,-5,1,NA
"10U","NV","Owyhee","Owyhee","USA",41.95323306,-116.1876014,-8,1,NA
"11A","AL","Clayton Municipal","Clayton","USA",31.88329917,-85.48491361,-6,1,NA
"11D","PA","Clarion Cty","Clarion","USA",41.22581222,-79.44098972,-5,1,NA
"11IS","IL","Schaumburg Heliport","Chicago/Schaumburg","USA",42.04808278,-88.05257194,-6,1,NA
"11J","GA","Early County","Blakely","USA",31.39698611,-84.89525694,-5,1,NA
"11R","TX","Brenham Municipal","Brenham","USA",30.219,-96.37427778,-6,1,NA
"12C","IL","Rochelle Municipal","Rochelle","USA",41.89300139,-89.07829,-6,1,NA
"12D","MN","Tower Municipal","Tower","USA",47.81833333,-92.29166667,-6,1,NA
"12J","AL","Brewton Municipal","Brewton","USA",31.05126306,-87.06796833,-6,1,NA
"12K","NE","Superior Municipal","Superior","USA",40.04636111,-98.06011111,-6,1,NA
"12Y","MN","Le Sueur Municipal","Le Sueur","USA",44.43746472,-93.91274083,-6,1,NA
"13C","MI","Lakeview","Lakeview","USA",43.45213722,-85.26480333,-5,1,NA
"13K","KS","Eureka Municipal","Eureka","USA",37.8515825,-96.29169806,-6,1,NA
"13N","NJ","Trinca","Andover","USA",40.96676444,-74.78016556,-5,1,NA
"14J","AL","Carl Folsom","Elba","USA",31.40988861,-86.08883583,-6,1,NA
"14M","MS","Hollandale Municipal","Hollandale","USA",33.18262167,-90.83065444,-6,1,NA
"14Y","MN","Todd Field ","Long Prairie","USA",45.89857556,-94.87391,-6,1,NA
"15F","TX","Haskell Municipal","Haskell","USA",33.19155556,-99.71793056,-6,1,NA
"15J","GA","Cook County","Adel","USA",31.13780556,-83.45308333,-5,1,NA
"15M","MS","Luka ","Luka","USA",34.7723125,-88.16587444,-6,1,NA
"15Z","AK","McCarthy 2","McCarthy","USA",61.43706083,-142.9037372,NA,NA,NA
"16A","AK","Nunapitchuk","Nunapitchuk","USA",60.90582833,-162.4391158,-9,1,NA
"16G","OH","Seneca County","Tiffin","USA",41.09405556,-83.2125,-5,1,NA
"16J","GA","Dawson Municipal","Dawson","USA",31.74328472,-84.419285,-5,1,NA
"16S","OR","Myrtle Creek Municipal","Myrtle Creek","USA",42.99845056,-123.3095092,-8,1,NA
"17G","OH","Port Bucyrus-Crawford County","Bucyrus","USA",40.78141667,-82.97469444,-5,1,NA
"17J","GA","Donalsonville Municipal","Donalsonville","USA",31.00694444,-84.87761111,-5,1,NA
"17K","OK","Boise City","Boise City","USA",36.77430028,-102.5104364,-6,1,NA
"17M","MS","Magee Municipal","Magee","USA",31.86127139,-89.80285361,-6,1,NA
"17N","NJ","Cross Keys","Cross Keys","USA",39.70547583,-75.03300306,-5,1,NA
"17Z","AK","Manokotak","Manokotak","USA",58.98896583,-159.0499739,-9,1,NA
"18A","GA","Franklin County","Canon","USA",34.34010472,-83.13348333,-5,1,NA
"18I","KY","McCreary County ","Pine Knot","USA",36.69591306,-84.39160389,-5,1,NA
"19A","GA","Jackson County","Jefferson","USA",34.17402472,-83.56066528,-5,1,NA
"19M","MS","C A Moore","Lexington","USA",33.12546111,-90.02555694,-6,1,NA
"19N","NJ","Camden","Berlin","USA",39.77842056,-74.94780389,-5,1,NA
"19P","AK","Port Protection SPB","Port Protection","USA",56.32880417,-133.6100844,-9,1,NA
"1A3","TN","Martin Campbell ","Copperhill","USA",35.01619111,-84.34631083,-5,1,NA
"1A5","NC","Macon County","Franklin","USA",35.222595,-83.41904389,-5,1,NA
"1A6","KY","Middlesboro-Bell County","Middlesboro","USA",36.6106375,-83.73741611,-5,1,NA
"1A7","TN","Jackson County","Gainesboro","USA",36.39728139,-85.64164278,-6,1,NA
"1A9","AL","Autauga County","Prattville","USA",32.438775,-86.51044778,-6,1,NA
"1B0","ME","Dexter Regional","Dexter","USA",45.00839444,-69.23976722,-5,1,NA
"1B1","NY","Columbia Cty","Hudson","USA",42.29130028,-73.71031944,-5,1,NA
"1B3","VT","Fair Haven","Fair Haven","USA",43.61534389,-73.27455556,-5,1,NA
"1B9","MA","Mansfield Municipal","Mansfield","USA",42.00013306,-71.19677139,-5,1,NA
"1C5","IL","Clow","Chicago/Plainfield","USA",41.69597444,-88.12923056,-6,1,NA
"1D1","SD","Milbank Municipal","Milbank","USA",45.23053806,-96.56596556,-6,1,NA
"1D2","MI","Canton -Plymouth -  Mettetal","Plymouth","USA",42.35003667,-83.45826833,-5,1,NA
"1D3","SD","Platte Municipal","Platte","USA",43.40332833,-98.82952972,-6,1,NA
"1D6","MN","Hector Municipal","Hector","USA",44.73107278,-94.71471333,-6,1,NA
"1D7","SD","Webster Municipal","Webster","USA",45.29329111,-97.51369889,-6,1,NA
"1D8","SD","Redfield Municipal","Redfield","USA",44.86247611,-98.52953972,-6,1,NA
"1F0","OK","Downtown Ardmore","Ardmore","USA",34.14698917,-97.12265194,-6,1,NA
"1F1","OK","Lake Murray State Park","Overbrook","USA",34.07509694,-97.10667917,-6,1,NA
"1F4","OK","Madill Municipal","Madill","USA",34.14040194,-96.81203222,-6,1,NA
"1F9","TX","Bridgeport Municipal","Bridgeport","USA",33.17533333,-97.82838889,-6,1,NA
"1G0","OH","Wood County","Bowling Green","USA",41.391,-83.63013889,-5,1,NA
"1G3","OH","Kent State University","Kent","USA",41.15186167,-81.41658306,-5,1,NA
"1G4","AZ","Grand Canyon West","Peach Springs","USA",35.99221,-113.8166164,-7,0,NA
"1G5","OH","Freedom ","Medina","USA",41.13144444,-81.76491667,-5,1,NA
"1G6","NY","Michael ","Cicero","USA",43.18166667,-76.12777778,-5,1,NA
"1H0","MO","Creve Coeur","St Louis","USA",38.72752,-90.50830417,-6,1,NA
"1H2","IL","Effingham County Memorial","Effingham","USA",39.07045083,-88.53351972,-6,1,NA
"1H3","MO","Linn State Tech. College","Linn","USA",38.47149444,-91.81531667,-6,1,NA
"1H8","IL","Casey Municipal","Casey","USA",39.30250917,-88.00406194,-6,1,NA
"1I5","NY","Freehold","Freehold","USA",42.36425,-74.06596806,-5,1,NA
"1I9","IN","Delphi Municipal","Delphi","USA",40.54281417,-86.68167194,-6,1,NA
"1I9","IN","Delphi Municipal","Delphi","USA",40.54281417,-86.68167194,-5,0,NA
"1J0","FL","Tri-County","Bonifay","USA",30.84577778,-85.60138889,-6,1,NA
"1J0","FL","Tri-County","Bonifay","USA",30.84577778,-85.60138889,-5,1,NA
"1K2","OK","Lindsay Municipal","Lindsay","USA",34.85007333,-97.58642028,-6,1,NA
"1K4","OK","David J. Perry","Goldsby","USA",35.1550675,-97.47039389,-6,1,NA
"1K5","OK","Waynoka Municipal","Waynoka","USA",36.56670028,-98.85231333,-6,1,NA
"1K9","KS","Satanta Municipal","Satanta","USA",37.45419111,-100.9921119,-6,1,NA
"1L0","LA","St. John the Baptist Parish","Reserve","USA",30.08720833,-90.58266528,-6,1,NA
"1L1","NV","Lincoln Co","Panaca","USA",37.78746444,-114.4216567,-8,1,NA
"1L7","UT","Escalante Municipal","Escalante","USA",37.74532639,-111.5701653,-7,1,NA
"1L9","UT","Parowan","Parowan","USA",37.85969694,-112.816055,-7,1,NA
"1M1","AR","North Little Rock Municipal","No Lit Rock","USA",34.83398056,-92.25792778,-6,1,NA
"1M2","MS","Belzoni Municipal","Belzoni","USA",33.14518056,-90.51528472,-6,1,NA
"1M4","AL","Posey ","Haleyville","USA",34.28034806,-87.60044139,-6,1,NA
"1M5","TN","Portland Municipal","Portland","USA",36.59287528,-86.47691028,-6,1,NA
"1M7","KY","Fulton","Fulton","USA",36.52589417,-88.91561611,-6,1,NA
"1MO","MO","Mountain Grove Memorial","Mountain Grove","USA",37.12071889,-92.311245,-6,1,NA
"1N2","NY","Spadaro ","East Moriches","USA",40.82787639,-72.74871083,-5,1,NA
"1N4","NJ","Woodbine Muni ","Woodbine","USA",39.21915,-74.794765,-5,1,NA
"1N7","NJ","Blairstown","Blairstown","USA",40.97114556,-74.99747556,-5,1,NA
"1N9","PA","Allentown Queen City Muni","Allentown","USA",40.57027778,-75.48830556,-5,1,NA
"1ND3","ND","Hamry ","Kindred","USA",46.6485775,-97.00564306,-6,1,NA
"1O1","OK","Grandfield Municipal","Grandfield","USA",34.23758944,-98.74200917,-6,1,NA
"1O2","CA","Lampson ","Lakeport","USA",38.99017472,-122.8997175,-8,1,NA
"1O3","CA","Lodi","Lodi","USA",38.20241667,-121.2684167,-8,1,NA
"1O4","OK","Thomas Municipal","Thomas","USA",35.73338222,-98.73063833,-6,1,NA
"1O6","CA","Dunsmuir Municipal-Mott","Dunsmuir","USA",41.26320889,-122.2719528,-8,1,NA
"1R1","LA","Jena","Jena","USA",31.671005,-92.15846722,-6,1,NA
"1R7","MS","Brookhaven-Lincoln County","Brookhaven","USA",31.6058475,-90.40931583,-6,1,NA
"1R8","AL","Bay Minette Municipal","Bay Minette","USA",30.87046278,-87.81738167,-6,1,NA
"1S0","WA","Pierce County ","Puyallup","USA",47.10391667,-122.2871944,-8,1,NA
"1S3","MT","Tillitt ","Forsyth","USA",46.27110639,-106.6239206,-7,1,NA
"1S5","WA","Sunnyside Municipal","Sunnyside","USA",46.32763139,-119.9705964,-8,1,NA
"1S6","ID","Priest River Muni","Priest River","USA",48.19018611,-116.9093644,-8,1,NA
"1U7","ID","Bear Lake County","Paris","USA",42.24714972,-111.33826,-7,1,NA
"1V0","NM","Navajo State Park ","Navajo Dam","USA",36.80833833,-107.6514444,-7,1,NA
"1V2","NE","Grant County ","Hyannis","USA",42.00942944,-101.7693439,-7,1,NA
"1V5","CO","Boulder Muni","Boulder","USA",40.03942972,-105.2258217,-7,1,NA
"1V6","CO","Fremont County","Canon City","USA",38.42838111,-105.1054994,-7,1,NA
"1V9","CO","Blake ","Delta","USA",38.78539722,-108.0636611,-7,1,NA
"20A","AL","Robbins ","Oneonta","USA",33.97231972,-86.37942722,-6,1,NA
"20M","MS","Macon Municipal","Macon","USA",33.13345889,-88.53559806,-6,1,NA
"20N","NY","Kingston-Ulster","Kingston","USA",41.9852525,-73.96409722,-5,1,NA
"20U","ND","Beach","Beach","USA",46.92362444,-103.9785389,-7,1,NA
"20V","CO","McElroy Airfield","Kremmling","USA",40.05367972,-106.3689467,-7,1,NA
"21D","MN","Lake Elmo","St Paul","USA",44.99748861,-92.85568111,-6,1,NA
"21F","TX","Jacksboro Municipal","Jacksboro","USA",33.228725,-98.14671083,-6,1,NA
"22B","CT","Mountain Meadow Airstrip","Burlington","USA",41.77287528,-73.01121667,-5,1,NA
"22I","OH","Vinton County","McArthur","USA",39.328125,-82.44182167,-5,1,NA
"22M","MS","Pontotoc County","Pontotoc","USA",34.27593833,-89.03839694,-6,1,NA
"22N","PA","Carbon Cty-Jake Arner Memorial","Lehighton","USA",40.80950889,-75.76149639,-5,1,NA
"23J","FL","Herlong","Jacksonville","USA",30.27778889,-81.80594722,-5,1,NA
"23M","MS","Clarke County","Quitman","USA",32.08487111,-88.73893389,-6,1,NA
"23N","NY","Bayport Aerodrome","Bayport","USA",40.75843139,-73.05372083,-5,1,NA
"23R","TX","Devine Municipal","Devine","USA",29.1384075,-98.94189028,-6,1,NA
"24A","NC","Jackson County","Sylva","USA",35.3168625,-83.20936806,-5,1,NA
"24J","FL","Suwannee County","Live Oak","USA",30.30105583,-83.02318778,-5,1,NA
"24N","NM","Jicarilla Apache Nation","Dulce","USA",36.828535,-106.8841914,-7,1,NA
"25J","GA","Cuthbert-Randolph","Cuthbert","USA",31.70016583,-84.82492194,-5,1,NA
"25M","MS","Ripley ","Ripley","USA",34.72226778,-89.01504944,-6,1,NA
"25R","TX","International","Edinburg","USA",26.44201083,-98.12945306,-6,1,NA
"26A","AL","Ashland/Lineville","Ashland/Lineville","USA",33.28761417,-85.80412861,-6,1,NA
"26N","NJ","Ocean City Muni cipal","Ocean City","USA",39.26347222,-74.60747222,-5,1,NA
"26R","TX","Jackson County","Edna/Ganado","USA",29.00101,-96.58194667,-6,1,NA
"26U","OR","McDermitt State","McDermitt","USA",42.00211083,-117.7231972,NA,NA,NA
"27A","GA","Elbert County-Patz ","Elberton","USA",34.09519722,-82.81586417,-5,1,NA
"27D","MN","Myers ","Canby","USA",44.72801889,-96.26309972,-6,1,NA
"27J","SC","Newberry Municipal","Newberry","USA",34.30927778,-81.63972222,-5,1,NA
"27K","KY","Georgetown-Scott County","Georgetown","USA",38.23442528,-84.43468667,-5,1,NA
"28J","FL","Kay Larkin","Palatka","USA",29.65863889,-81.68855556,-5,1,NA
"29D","PA","Grove City","Grove City","USA",41.14597611,-80.16592194,-5,1,NA
"29G","OH","Portage County","Ravenna","USA",41.210195,-81.25163083,-5,1,NA
"29S","MT","Gardiner","Gardiner","USA",45.04993556,-110.7466008,-7,1,NA
"2A0","TN","Mark Anton","Dayton","USA",35.48624611,-84.93109722,-5,1,NA
"2A0","TN","Mark Anton","Dayton","USA",35.48624611,-84.93109722,-6,1,NA
"2A1","TN","Jamestown Municipal","Jamestown","USA",36.34970833,-84.94664472,-5,1,NA
"2A1","TN","Jamestown Municipal","Jamestown","USA",36.34970833,-84.94664472,-6,1,NA
"2A3","AK","Larsen Bay","Larsen Bay","USA",57.53510667,-153.9784169,-9,1,NA
"2A9","AK","Kotlik","Kotlik","USA",63.03116111,-163.5299278,-9,1,NA
"2AK","AK","Lime Village","Lime Village","USA",61.35848528,-155.4403508,NA,NA,NA
"2B3","NH","Parlin ","Newport","USA",43.38812944,-72.18925417,-5,1,NA
"2B7","ME","Pittsfield Municipal","Pittsfield","USA",44.76852778,-69.37441667,-5,1,NA
"2B9","VT","Post Mills","Post Mills","USA",43.884235,-72.25370333,-5,1,NA
"2D1","OH","Barber","Alliance","USA",40.97089139,-81.09981889,-5,1,NA
"2D5","ND","Oakes Municipal","Oakes","USA",46.17301972,-98.07987556,-6,1,NA
"2F5","TX","Lamesa Municipal","Lamesa","USA",32.75627778,-101.9194722,-6,1,NA
"2F6","OK","Skiatook Municipal","Skiatook","USA",36.357035,-96.01138556,-6,1,NA
"2F7","TX","Commerce Municipal","Commerce","USA",33.29288889,-95.89641806,-6,1,NA
"2F8","LA","Morehouse Memorial","Bastrop","USA",32.75607944,-91.88057194,-6,1,NA
"2G2","OH","Jefferson County Airpark","Steubenville","USA",40.35944306,-80.70007806,-5,1,NA
"2G3","PA","Connellsville","Connellsville","USA",39.95893667,-79.65713306,-5,1,NA
"2G4","MD","Garrett County","Oakland","USA",39.58027778,-79.33941667,-5,1,NA
"2G9","PA","Somerset County","Somerset","USA",40.03911111,-79.01455556,-5,1,NA
"2H0","IL","Shelby County","Shelbyville","USA",39.41042861,-88.8454325,-6,1,NA
"2H2","MO","Aurora Memorial Municipal","Aurora","USA",36.96230778,-93.69531111,-6,1,NA
"2I0","KY","Madisonville Municipal","Madisonville","USA",37.35502778,-87.39963889,-6,1,NA
"2I5","IL","Chanute","Rantoul","USA",40.29355556,-88.14236111,-6,1,NA
"2IS","FL","Airglades","Clewiston","USA",26.74200972,-81.04978917,-5,1,NA
"2J2","GA","Liberty County","Hinesville","USA",31.78461111,-81.64116667,-5,1,NA
"2J3","GA","Louisville Municipal","Louisville","USA",32.98654083,-82.38568139,-5,1,NA
"2J5","GA","Millen","Millen","USA",32.89376972,-81.96511583,-5,1,NA
"2J9","FL","Quincy Municipal","Quincy","USA",30.59786111,-84.55741667,-5,1,NA
"2J9","FL","Quincy Municipal","Quincy","USA",30.59786111,-84.55741667,-6,1,NA
"2K3","KS","Stanton County Municipal","Johnson","USA",37.58271111,-101.73281,-6,1,NA
"2K3","KS","Stanton County Municipal","Johnson","USA",37.58271111,-101.73281,-7,1,NA
"2K4","OK","Scott ","Mangum","USA",34.89172583,-99.52675667,-6,1,NA
"2K5","AK","Telida","Telida","USA",63.39387278,-153.2689733,NA,NA,NA
"2M0","KY","Princeton-Caldwell County","Princeton","USA",37.11560444,-87.85556944,-6,1,NA
"2M2","TN","Lawrenceburg Municipal","Lawrenceburg","USA",35.2343025,-87.25793222,-6,1,NA
"2M3","OK","Sallisaw Municipal","Sallisaw","USA",35.43816667,-94.80277778,-6,1,NA
"2M4","MS","G. V. Montgomery","Forest","USA",32.35347778,-89.48867944,-6,1,NA
"2M8","TN","Charles W. Baker","Millington","USA",35.27897583,-89.93147611,-6,1,NA
"2O1","CA","Gansner ","Quincy","USA",39.94378056,-120.9468983,-8,1,NA
"2O3","CA","Angwin-Parrett ","Angwin","USA",38.57851778,-122.4352572,-8,1,NA
"2O6","CA","Chowchilla","Chowchilla","USA",37.11244417,-120.2468406,-8,1,NA
"2O7","CA","Independence","Independence","USA",36.81382111,-118.2050956,-8,1,NA
"2O8","OK","Hinton Municipal","Hinton","USA",35.50592472,-98.34236111,-6,1,NA
"2P2","WI","Washington Island","Washington Island","USA",45.38620833,-86.92448056,-6,1,NA
"2Q3","CA","Yolo Co-Davis/Woodland/Winters","Davis/Woodland/Winters","USA",38.5790725,-121.8566322,-8,1,NA
"2R0","MS","Waynesboro Municipal","Waynesboro","USA",31.64599472,-88.63475667,-6,1,NA
"2R4","FL","Peter Prince ","Milton","USA",30.63762083,-86.99365278,-6,1,NA
"2R5","AL","St Elmo","St Elmo","USA",30.50190833,-88.27511667,-6,1,NA
"2R9","TX","Karnes County","Kenedy","USA",28.8250075,-97.86558333,-6,1,NA
"2S1","WA","Vashon Municipal","Vashon","USA",47.45815333,-122.4773506,-8,1,NA
"2S6","OR","Sportsman Airpark","Newberg","USA",45.29567333,-122.9553783,-8,1,NA
"2S7","OR","Chiloquin State","Chiloquin","USA",42.58319167,-121.8761261,-8,1,NA
"2S8","WA","Wilbur","Wilbur","USA",47.75320639,-118.7438936,-8,1,NA
"2T1","TX","Muleshoe Municipal","Muleshoe","USA",34.18513639,-102.6410981,-6,1,NA
"2V1","CO","Stevens ","Pagosa Springs","USA",37.277505,-107.0558742,-7,1,NA
"2V2","CO","Vance Brand","Longmont","USA",40.16367139,-105.1630369,-7,1,NA
"2V5","CO","Wray Municipal","Wray","USA",40.10032333,-102.24096,-7,1,NA
"2V6","CO","Yuma Municipal","Yuma","USA",40.10415306,-102.7129869,-7,1,NA
"2W5","MD","Maryland","Indian Head","USA",38.60053667,-77.07296917,-5,1,NA
"2W6","MD","Captain Walter Francis Duke Regional ","Leonardtown","USA",38.31536111,-76.55011111,-5,1,NA
"2Y3","AK","Yakutat SPB","Yakutat","USA",59.5624775,-139.7410994,-9,1,NA
"2Y4","IA","Rockwell City Municipal","Rockwell City","USA",42.38748056,-94.61803333,-6,1,NA
"31F","TX","Gaines County","Seminole","USA",32.67535389,-102.652685,-6,1,NA
"32M","MA","Norfolk","Norfolk","USA",42.12787528,-71.37033556,-5,1,NA
"32S","MT","Stevensville","Stevensville","USA",46.52511111,-114.0528056,-7,1,NA
